BSE
BUYERS
Name,Last_close,Expected Profit %,Target 1,Stop Loss 1,Target 2,Stop Loss 2,Target 3,Stop Loss 3,Expected Open,Expected High,Expected Low,Expected Close,Strategy,Predicted Signal
TATA SPONGE ,1100.05,51.1592,1121.76,839.075,1281.15,847.0,1306.77,1121.76,1121.76,1281.15,1083.9,1218.48,24,1
NAKODA      ,5.36,32.623,5.3653,4.356,5.83541,4.0,5.95212,5.3653,5.3653,5.83541,5.19532,5.65505,46,1
WOCKHARDT   ,750.25,30.4644,756.052,631.422,832.102,637.0,848.744,756.052,756.052,832.102,751.245,808.743,21,1
YBRANTDIGI  ,29.6,26.1473,30.7384,26.2845,33.4921,26.0,34.1619,30.7384,30.7384,33.4921,28.4371,31.9849,44,1
BAMPSL SECUR,0.67,20.4913,0.685978,0.594,0.722948,0.0,0.737407,0.685978,0.685978,0.722948,0.611197,0.71614,36,-1
ADVANCE TECH,0.18,19.2431,0.185004,0.1584,0.190789,0.0,0.194605,0.185004,0.185004,0.190789,0.171461,0.185785,46,1
INDO COUNT  ,119.95,17.7301,122.288,105.286,125.206,106.0,127.71,122.288,122.288,125.206,115.589,124.1,46,1
GPPL        ,143.6,16.0935,144.607,130.284,152.779,131.0,155.835,144.607,144.607,152.779,141.746,149.724,46,1
GABRIEL(I)  ,52.25,15.7013,52.8228,47.52,55.5366,48.0,56.6473,52.8228,52.8228,55.5366,50.0734,53.281,46,1
COMFORT INTE,1.0,15.6611,0.993062,0.891,1.04095,0.0,1.06177,0.993062,0.993062,1.04095,0.982762,1.01794,46,1
""
""
""
SELLERS
Name,Last_close,Expected Profit %,Target 1,Stop Loss 1,Target 2,Stop Loss 2,Target 3,Stop Loss 3,Expected Open,Expected High,Expected Low,Expected Close,Strategy,Predicted Signal
LAKSHMIVILAS,82.5,35.1763,72.6512,110.595,70.982,109.0,69.5624,72.6512,72.6512,81.675,70.982,71.8846,21,-1
TVS MOTOR L ,143.0,25.0081,143.392,174.73,129.736,173.0,127.141,143.392,143.392,145.96,129.736,133.138,26,-1
AUSTRAL COKE,1.02,15.3406,1.0209,1.1817,0.990515,1.0,0.970705,1.0209,1.0209,1.03044,0.990515,0.990515,16,-1
SUJANA INDUS,2.07,15.2588,2.09777,2.3533,1.97447,2.0,1.93498,2.09777,2.09777,2.11562,1.97447,1.98285,16,-1
GEOD LTD    ,2.08,15.1148,2.11803,2.323,1.95236,2.0,1.91331,2.11803,2.11803,2.11803,1.95236,1.99833,16,-1
DHANUSTECH  ,0.12,14.7608,0.117138,0.1313,0.110811,0.0,0.108595,0.117138,0.117138,0.12,0.110811,0.112524,16,-1
