Name,Last_close,Target 1,Stop Loss 1,Target 2,Stop Loss 2,Target 3,Stop Loss 3,Expected Open,Expected High,Expected Low,Expected Close
AHLUWALIA CO,144.2,147.084,137.278,149.247,144.2,151.41,147.084,147.978,159.99,137.278,156.26
BROOKS LABS ,39.35,40.137,38.6483,40.7272,39.35,41.3175,40.137,39.3946,43.6208,38.6483,42.2947
TATA SPONGE ,852.1,870.882,830.599,882.151,846.725,889.663,857.475,851.93,927.227,830.599,906.833
FORCE MOTR  ,565.15,577.098,561.076,584.267,565.15,589.046,565.802,564.717,612.943,561.891,592.466
KEI INDUST. ,35.55,36.2844,35.1145,36.725,35.55,37.0188,35.6197,35.2585,38.4876,35.2016,37.7257
RICO AUTO   ,21.2,21.6334,21.2,21.8934,21.3576,22.0667,21.397,21.5286,22.9335,21.3576,22.9144
TINPLATE    ,85.4,87.0703,84.0222,88.0724,85.0556,88.7406,85.7444,84.6798,92.0811,84.0222,89.838
TEXMO PIPES ,16.96,17.2886,16.7551,17.4858,16.96,17.6172,16.9928,17.2495,18.2744,16.7961,17.9346
JPINFRATEC  ,37.9,38.5828,37.3315,38.9925,37.7579,39.2657,38.0421,38.0415,40.6313,37.3315,39.0458
LIBERTY SHOE,334.25,340.261,334.013,343.867,334.25,346.272,334.288,335.921,358.294,334.061,350.249
MCX LTD     ,847.85,862.942,822.81,871.997,841.59,878.033,854.11,831.43,908.217,822.81,883.912
PRAKASH IND.,117.05,119.115,115.552,120.354,116.675,121.18,117.425,116.804,125.31,115.552,121.592
GRANULES (I),677.65,688.786,676.408,695.468,677.65,699.922,677.849,682.484,722.194,676.656,710.832
IL&FS TRANS ,247.35,251.388,246.35,253.811,247.35,255.426,247.51,247.573,263.502,246.55,257.137
SAINT-GOBAIN,23.1,23.454,22.9826,23.6664,23.1,23.808,23.1188,23.2586,24.516,23.0061,23.9886
