stock_id,stock_name,last_updated_at
81,P.H.CAPITAL ,2014-07-11
161,MID INDIA IN,2014-07-16
186,INDIAN SUCRO,2014-07-16
242,PHIL CORPN. ,2014-07-16
301,CENTRUM CAP ,2014-07-14
312,BOM.CYCLE   ,2014-07-16
316,THANA ELECT ,2014-07-08
332,NILACHAL REF,2014-07-11
340,SIRPUR PAPER,2014-07-16
346,H.P.COTTON  ,2014-07-16
362,VICTORIA MIL,2014-07-16
369,SAHARA ONE  ,2014-07-16
378,SWAD.POLYTEX,2014-07-11
379,BIRLA TRANS.,2014-07-16
381,SHREE MFG CO,2014-07-01
412,SJ CORP LTD ,2014-07-16
451,TULIVE      ,2014-07-02
502,MAHESH.AGR. ,2014-07-14
503,ARSHYIA INTL,2014-07-16
510,INDIACO VEN ,2014-07-14
511,VYAPAR INDS ,2014-07-15
513,ASISL       ,2014-06-30
521,AMINES&PLAST,2014-07-15
525,BORAX MORARJ,2014-07-08
556,GUJ.PETRO   ,2014-07-08
565,ADV.PETROCH.,2014-06-23
572,APTE AMAL.  ,2014-07-16
575,VISHNU SUGAR,2014-06-23
581,THIRU A.SUG.,2014-07-16
584,CAPROLA.CHEM,2014-07-07
619,ASHNOOR TEX.,2014-07-15
624,SCHABLONA (I,2014-07-16
625,FIBERWB IN  ,2014-07-16
629,RAS RESORTS ,2014-06-24
630,JOLLY PLAST.,2014-07-09
642,SMIFS CAPITA,2014-07-15
647,BLUE CIRCLE ,2014-07-16
650,SHRICON IND.,2014-07-14
659,NETLINK SOLU,2014-07-16
668,PHOTON CAP  ,2014-06-18
673,M.M.RUBBER  ,2014-07-11
677,BHAGWATI OXY,2014-07-15
698,MODERN SHARE,2014-07-09
705,U.P.HOTELS  ,2014-07-16
711,THYROCARE LA,2014-07-16
723,RAASI ENT   ,2014-06-23
731,MEFCOM AGRO ,2014-07-16
740,DFLINFRA    ,2014-07-09
746,INSTAF      ,2014-07-16
749,DHARANI FIN.,2014-07-10
754,CAPITAL TRUS,2014-07-15
758,GSB FINANCE ,2014-07-07
763,REGENCY TRUS,2014-07-11
765,PALSOFT INFO,2014-07-16
773,IMCAP       ,2014-07-10
774,SAMBHAAV MED,2014-07-11
775,DJS STOCK   ,2014-07-15
777,OMEGA INTERA,2014-07-14
780,NETTLINX LTD,2014-07-16
789,CHARTERED CA,2014-07-16
794,CAPMAN FIN. ,2014-07-15
798,TRC FINAN.SE,2014-06-18
799,PASUPATI FIN,2014-07-10
803,SEVENHILL   ,2014-07-14
804,UPASANA FIN.,2014-07-16
807,AMANI TRAD  ,2014-07-16
818,ORGAN COMM. ,2014-07-15
827,VAMA INDS   ,2014-07-15
833,FINAVENT    ,2014-07-11
843,CHAMBAL BREW,2014-07-16
856,SPECTACLE   ,2014-07-16
859,APOLLO FIN I,2014-07-16
873,R.T.EXPORTS ,2014-07-14
881,CHANDRIKA TR,2014-07-16
883,SAVERA IND  ,2014-07-16
891,GANDHI SP.TU,2014-07-16
