Name,Last_close,Target 1,Stop Loss 1,Target 2,Stop Loss 2,Target 3,Stop Loss 3,Expected Open,Expected High,Expected Low,Expected Close
LUMINAIRE TE,9.5,9.26424,9.5,9.12279,9.595,9.02848,9.61875,8.55697,9.405,8.55697,8.55697
NAKODA      ,5.55,5.41601,5.76552,5.33562,5.60388,5.28203,5.49612,5.72076,5.76552,5.01405,5.16983
ESTEEM BIO  ,377.1,369.25,377.1,364.54,380.871,361.4,381.814,345.952,373.329,345.7,345.7
ACE INDIA LT,19.95,19.5389,19.95,19.2922,20.0611,19.1277,20.0888,19.3163,19.8389,18.3055,18.3055
CALS REF LTD,0.14,0.137715,0.146225,0.136343,0.141556,0.135429,0.138444,0.143113,0.146225,0.130858,0.133971
IFL PRMOTER ,3.6,3.54141,3.6,3.50626,3.636,3.48282,3.645,3.3738,3.564,3.36564,3.36564
BAMPSL SECUR,0.65,0.63967,0.6851,0.633473,0.658775,0.629341,0.641225,0.681763,0.6851,0.608682,0.667702
GOENKA DIAM ,3.39,3.34426,3.45159,3.31682,3.4054,3.29853,3.3746,3.39441,3.45159,3.20705,3.29689
PARENT.DRUGS,32.3,31.868,32.736,31.6088,32.409,31.436,32.191,31.9673,32.736,30.572,31.0823
KAPPAC PHAR.,228.9,226.041,234.691,224.325,230.348,223.181,227.452,227.328,234.691,217.463,221.049
KM SUGARMILL,3.84,3.79261,3.84,3.76417,3.8784,3.74522,3.888,3.65043,3.8016,3.65043,3.65043
HANSUGAR    ,22.05,21.779,22.05,21.6164,22.2705,21.5079,22.3256,20.9659,21.8295,20.9659,20.9659
TANLA       ,9.15,9.03761,9.31989,8.97017,9.19247,8.92521,9.10753,9.2107,9.31989,8.70043,8.94077
JAGPRO      ,4.31,4.25727,4.31,4.22564,4.3531,4.20455,4.36387,4.0991,4.2669,4.0991,4.0991
CREST ANIM  ,2.71,2.67687,2.753,2.65699,2.72075,2.64374,2.69925,2.64135,2.753,2.57748,2.57748
