BUYERS
Name,Last_close,Target 1,Stop Loss 1,Target 2,Stop Loss 2,Target 3,Stop Loss 3,Expected Open,Expected High,Expected Low,Expected Close
BROOKS LABS ,39.95,40.749,39.2442,41.3483,39.95,41.9475,40.749,40.1258,44.8026,39.2442,43.0794
S.KUMARS NAT,6.57,6.69795,6.47276,6.77472,6.54569,6.8259,6.59431,6.63132,7.0818,6.47276,6.96508
IGARSHI MOT ,198.6,202.433,197.615,204.733,198.6,206.266,198.758,198.852,213.932,197.812,208.47
LIBERTY SHOE,339.0,344.339,337.418,347.543,339.0,349.678,339.253,341.249,360.357,337.734,350.707
UFLEX LTD   ,135.8,137.693,135.8,138.829,136.103,139.587,136.179,136.764,143.373,136.103,140.078
WEST COAST  ,63.6,64.3998,62.9269,64.8796,63.6,65.1995,63.7077,63.5046,66.7991,63.0615,65.6437
CEBBCO      ,19.9,20.1481,19.7798,20.2969,19.9,20.3962,19.9192,19.8038,20.8923,19.8038,20.5799
DEEP INDS   ,80.6,81.6028,79.5038,82.2045,80.326,82.6056,80.874,80.4737,84.6112,79.5038,81.8923
PRERNA INFR ,55.15,55.8329,52.5469,56.2427,54.4992,56.5159,55.8008,52.8116,57.8818,52.5469,56.4221
INT.CONVEYOR,21.65,21.9167,21.65,22.0766,21.7301,22.1833,21.7501,21.9582,22.7166,21.7301,22.5737
SUPER SPIN. ,9.6,9.71688,9.48,9.78701,9.57,9.83376,9.63,9.86816,10.0675,9.48,10.0371
TINPLATE    ,87.45,88.4892,85.9721,89.1127,87.0805,89.5284,87.8195,86.7912,91.6068,85.9721,89.1494
GHCL LTD    ,58.8,59.4527,58.1949,59.8443,58.8,60.1054,58.8968,58.8098,61.4107,58.3159,60.7247
ALEM PHARMA ,353.85,357.742,352.906,360.078,353.85,361.635,354.001,355.006,369.419,353.095,360.054
KALYANI STEL,112.35,113.571,112.078,114.303,112.35,114.792,112.393,113.11,117.233,112.133,116.376
""
""
""
SELLERS
Name,Last_close,Target 1,Stop Loss 1,Target 2,Stop Loss 2,Target 3,Stop Loss 3,Expected Open,Expected High,Expected Low,Expected Close
NAKODA      ,5.0,4.9,5.13438,4.825,5.0,4.75,4.875,5.06717,5.1075,4.45366,4.53117
COMFORT INTE,0.98,0.956292,1.02688,0.942067,0.991719,0.932584,0.968281,0.996987,1.02688,0.885169,0.885169
SECEARTH    ,13.95,13.6566,14.1923,13.4805,14.0106,13.3632,13.8894,14.0495,14.1923,12.7763,13.4046
LUMINAIRE TE,9.05,8.86508,9.05,8.75413,9.1405,8.68016,9.16313,8.31031,8.9595,8.31031,8.31031
BAMPSL SECUR,0.59,0.578544,0.6148,0.571671,0.5962,0.567088,0.5838,0.611771,0.6148,0.544177,0.581366
CALS REF LTD,0.13,0.127781,0.135781,0.12645,0.131445,0.125563,0.128555,0.13289,0.135781,0.121125,0.124016
ACE INDIA LT,19.0,18.6892,19.0,18.5027,19.0766,18.3784,19.0958,18.7194,18.9234,17.7568,17.7568
PRADIPOVERS ,3.92,3.85741,4.09692,3.81986,3.96423,3.79482,3.87577,3.969,4.09692,3.66964,3.74425
GOENKA DIAM ,3.33,3.28679,3.3986,3.26087,3.34715,3.24359,3.31285,3.36252,3.3986,3.15717,3.28804
KAPPAC PHAR.,217.5,214.787,220.056,213.159,217.5,212.073,217.091,214.549,219.544,206.647,207.858
KAUSHAL INFR,10.53,10.3993,10.6792,10.3208,10.5673,10.2685,10.4927,10.4103,10.6792,10.007,10.007
HANSUGAR    ,20.95,20.6904,20.95,20.5346,21.1595,20.4308,21.2119,19.9116,20.7405,19.9116,19.9116
KM SUGARMILL,3.65,3.60486,3.65,3.57778,3.6865,3.55972,3.69563,3.46945,3.6135,3.46945,3.46945
SOWBH MEDIA ,8.78,8.6723,9.19207,8.60768,8.88302,8.5646,8.67698,9.19207,9.19207,8.34919,8.34919
CREST ANIM  ,2.58,2.54837,2.62128,2.5294,2.59032,2.51675,2.56968,2.5941,2.62128,2.45349,2.45349
