Name,Last_close,Target 1,Stop Loss 1,Target 2,Stop Loss 2,Target 3,Stop Loss 3,Expected Open,Expected High,Expected Low,Expected Close
NGCT,2.25,2.295,2.18902,2.32875,2.25,2.3625,2.295,2.33633,2.66272,2.18902,2.63595
HERCULES,183.45,187.119,183.343,189.871,183.45,192.622,188.036,184.551,206.718,183.364,201.477
BROOKS,40.15,40.953,39.537,41.5552,40.15,42.1575,40.953,40.3748,45.2383,39.537,43.4129
TATAMETALI,121.7,124.134,121.7,125.96,122.917,127.785,125.351,123.225,136.718,121.992,134.462
ATLASCYCLE,304.45,310.539,300.939,315.106,304.45,319.672,310.539,301.943,335.362,300.939,323.509
SANGAMIND,84.0,85.7871,82.348,86.8594,83.587,87.5742,84.413,84.0532,91.1484,82.348,88.41
INDOCO,195.05,199.118,195.05,201.559,197.001,203.187,197.488,199.283,211.324,197.001,208.014
AHLUCONT,146.7,149.612,143.14,151.359,145.81,152.524,147.59,146.759,158.348,143.14,154.113
IFBIND,157.7,160.54,157.516,162.244,157.7,163.38,157.729,159.261,169.06,157.553,163.929
SHARONBIO,67.9,68.9389,67.3313,69.5622,67.9,69.9777,67.991,67.8887,72.0555,67.4451,70.4553
LIBERTSHOE,338.85,343.992,336.252,347.077,338.85,349.134,339.266,340.906,359.418,336.772,349.908
UFLEX,136.1,137.977,136.1,139.103,136.667,139.854,136.809,137.552,143.608,136.667,140.451
WSTCSTPAPR,63.65,64.4732,62.7377,64.9671,63.4219,65.2964,63.8781,63.5715,66.9428,62.7377,65.7483
DEEPIND,79.8,80.8307,78.5578,81.4492,79.4894,81.8615,80.1106,80.2948,83.923,78.5578,80.8081
TATASPONGE,857.6,867.813,836.989,873.94,852.447,878.025,862.753,852.426,898.45,836.989,876.667
