Rank,Top Stocks,Profit %,2014 Week: 30 rank,Profit %,2014 Week: 29 rank,Profit %,2014 Week: 28 rank,Profit %,2014 Week: 27 rank,Profit %,2014 Week: 26 rank,Profit %,2014 Week: 25 rank,Profit %,"August, 2014 rank",Profit %,"July, 2014 rank",Profit %,"June, 2014 rank",Profit %,"May, 2014 rank",Profit %,Year: 2014 rank,Profit %
1,MMFL,45.9729,271,-0.515692,688,-7.10744,745,-1.98347,106,-1.62208,272,5.58398,189,5.87903,2,44.5664,500,-6.93869,114,28.4286,207,26.0059,8,249.892
2,PARABDRUGS,31.9527,53,5.47945,112,4.25531,790,-7.59494,347,-7.73809,527,1.16958,18,20.5882,1,48.6667,719,-16.1111,256,17.0068,693,-2.0,297,50.6757
3,INDOTECH,30.3892,158,1.18825,518,-3.7037,735,-1.69279,202,-4.78498,288,5.40377,47,13.6956,4,29.037,418,-3.81723,17,59.9029,374,16.144,11,233.972
4,MIRCELECTR,28.2759,151,1.33333,95,5.14706,58,14.7541,477,-10.5634,766,-4.66667,170,6.33803,8,17.7215,178,5.29801,34,45.283,794,-21.4286,282,52.459
5,STOREONE,22.5949,722,-7.21817,527,-3.78549,9,30.4255,89,-1.20482,161,8.70083,127,8.16327,11,16.7227,22,33.0337,217,19.303,729,-4.74359,65,126.221
6,LLOYDELENG,21.6667,19,11.7391,113,4.22727,52,15.2471,587,-13.5098,559,0.684307,634,-1.65919,3,30.1459,104,10.9701,358,13.4021,76,41.5644,4,347.354
7,MAXWELL,21.34,372,-1.73268,493,-3.33334,263,7.32324,504,-11.2613,231,6.75,530,0.0,6,23.4849,437,-4.54545,511,7.87402,737,-5.25,270,53.7736
8,GUFICBIO,20.0,708,-6.81818,724,-8.05085,194,8.61245,566,-12.8788,3,50.0,789,-9.94152,10,17.1429,38,25.7485,664,1.97369,286,20.6612,96,105.0
9,KEMROCK,19.2905,793,-13.9746,441,-2.52101,779,-4.95207,789,-20.8485,696,-1.74346,788,-9.91471,20,13.5021,795,-34.7313,38,43.3929,780,-12.0,346,42.7056
10,SAHPETRO,16.7665,695,-6.51558,49,8.56269,350,5.59006,262,-6.03448,607,0.0,21,19.4539,29,10.1695,362,-1.94445,140,25.614,649,1.48148,86,111.957
11,ASAHISONG,16.7111,193,0.675676,204,1.35135,551,2.33333,619,-14.0435,767,-4.67213,726,-3.69478,13,16.1947,513,-7.25806,72,34.5604,579,5.96065,186,71.634
12,GATI,16.1864,107,2.67857,217,1.10717,550,2.37982,394,-8.875,208,7.2807,763,-5.91888,17,14.4885,421,-3.94309,748,-3.75909,71,42.7326,21,192.324
13,GARWALLROP,15.1017,219,0.244097,562,-4.24,18,22.2798,748,-18.1857,493,1.78571,319,3.14815,19,14.031,100,11.2658,154,24.2088,200,26.197,25,179.658
14,PCJEWELLER,14.0263,72,4.31772,184,1.79992,592,1.70285,754,-18.5327,45,17.9487,151,7.05357,15,15.9529,189,4.89996,536,7.03671,340,17.8723,180,73.3843
15,GLOBOFFS,13.9232,714,-6.87,19,14.0319,642,0.896224,36,2.78122,330,4.6438,55,13.0909,22,12.9677,35,26.7568,562,6.18124,477,11.9135,3,364.251
16,DLINKINDIA,13.8571,290,-0.713267,76,6.43064,35,17.7966,15,5.26786,566,0.624997,137,7.7451,16,15.4236,41,25.1786,40,42.9894,155,30.3819,35,162.171
17,CCL,13.4737,215,0.352609,625,-5.56309,213,8.16778,463,-10.3286,351,4.14327,50,13.5743,9,17.5145,328,-0.719424,400,12.0032,473,12.0404,138,89.7887
18,AARTIIND,12.6591,361,-1.56747,174,2.00935,188,8.71212,635,-14.4533,92,12.975,487,0.478467,12,16.3069,174,5.41667,152,24.3484,272,21.7293,46,150.354
19,JINDALPOLY,12.1247,310,-0.977007,66,7.23711,290,6.61504,694,-15.9066,149,9.1223,400,1.80498,24,11.6092,314,-0.469395,52,38.9737,261,22.1134,147,84.8937
